playerid,total_spent_usd
484825,1179.3999999999999
484923,22325.22
484965,2191.14
485077,709.74
485081,15479.22
485140,4935.66
485275,79.98
485457,39.98
485568,765.76
485649,693.68
485651,3928.2599999999998
485657,403.84000000000003
485828,439.79999999999995
485831,681.68
485864,127.91999999999999
485904,49.92
485912,0.0
486219,2248.1
486404,0.0
486442,747.66
486509,0.0
486560,1693.16
487007,29.98
487157,199.96
487241,0.0
487267,39.98
487508,19.98
487565,0.0
487597,0.0
487728,289.88
487846,79.96
488107,879.72
488204,239.94
488233,1409.94
488234,2380.34
488253,1044.3799999999999
488255,59.98
488262,629.72
488313,9519.44
488352,119.96000000000001
488411,63.959999999999994
488438,119.98
488507,39.98
488542,6563.04
488597,1581.22
488620,63.94
488784,0.0
488844,0.0
488877,3946.3199999999997
489136,11062.9
489251,23.98
489275,79.98
489316,0.0
489323,23.98
489337,0.0
489338,519.76
489376,39.98
489379,1095.44
489407,4518.22
489408,2248.84
489462,337.88
489502,39.98
489569,23.98
489678,119.98
489906,1541.24
489931,0.0
489979,1715.32
490480,439.82
490612,644.76
490678,123.9
490720,113.92
490752,49.959999999999994
490772,39.98
490798,199.96
490829,249.88
490846,419.86
490866,977.6999999999999
490893,59.94
491052,79.96
491061,0.0
491067,927.58
491150,0.0
491190,2488.72
491196,39.98
491326,119.96000000000001
491337,1703.56
491346,3000.04
491361,519.9
491665,1414.22
491691,14121.64
491694,23.98
491757,1437.28
491878,239.9
491901,39.98
491931,299.88
491983,0.0
492009,0.0
492070,1061.44
492178,159.92
492279,7949.22
492328,119.96000000000001
492545,19.98
492676,79.98
492710,39.98
492770,0.0
492882,39.98
492958,49.98
492968,179.92
493023,39.98
493072,29.98
493192,0.0
493200,159.92000000000002
493289,29.98
493409,59.959999999999994
493417,119.96000000000001
493454,243.92
493612,43.96
493617,2590.6
493627,39.98
493763,279.9
493775,0.0
493795,729.68
493819,633.68
493880,39.98
493886,79.98
493889,47.96
494021,0.0
494079,229.9
494146,147.92000000000002
494185,1409.58
494198,39.98
494322,23.98
494489,0.0
494510,2357.2
494825,39.98
494847,2712.56
494856,23.98
494890,23.98
494938,2405.72
494978,443.78
495037,715.74
495043,279.52
495112,39.98
495250,308.7
495331,59.98
495393,99.92
495397,39.98
495454,0.0
495473,149.94
495487,493.78
495488,215.92000000000002
495508,2513.22
495533,9.98
495543,879.78
495609,99.94
495659,159.94
495685,6934.44
495781,74.94
495791,139.94
495798,179.92
495827,63.959999999999994
495904,0.0
495938,1179.66
495959,413.84
496177,55.96
496180,39.98
496219,309.9
496270,39.98
496375,475.74
496390,39.98
496417,0.0
496454,2542.72
496582,139.9
496642,223.94
496667,519.88
496736,49.96
496772,497.72
496782,1927.62
496795,149.94
496909,79.92
496913,0.0
496932,0.0
497047,139.96
497056,59.959999999999994
497103,623.66
497267,1057.52
497282,219.92
497296,1013.4799999999999
497436,39.98
497579,0.0
497685,139.94
497687,3420.74
497737,6054.1
497756,23.98
497828,179.89999999999998
497919,39.98
498071,87.94
498184,1929.24
498355,59.98
498376,209.88
498397,39.98
498481,19.98
498487,139.94
498519,1109.56
498589,79.96
498602,203.92
498641,139.94
498734,3220.52
498867,39.98
498904,119.96000000000001
498915,199.94
498918,399.88
498967,163.9
499007,0.0
499096,103.9
499143,23.98
499193,49.96
499479,319.92
499635,63.959999999999994
499742,0.0
499801,119.96000000000001
499891,79.98
499933,79.96
499938,1273.7
500357,59.959999999999994
500452,239.9
500468,1121.66
500470,559.82
500516,719.64
500547,0.0
500645,1479.06
500676,49.94
500699,1072.34
500727,189.92
500815,79.98
500826,929.66
500928,23.98
500930,79.96
500948,39.98
501028,39.98
501042,0.0
501076,39.98
501077,143.92
501101,0.0
501143,4484.26
501226,39.98
501243,79.96
501253,123.94
501257,59.959999999999994
501261,247.85999999999999
501297,99.94
501302,39.98
501330,519.72
501351,79.96
501447,1093.54
501462,39.98
501464,7456.24
501492,119.94
501498,249.88
501503,1159.46
501559,23.98
501602,103.94
501703,2693.94
501767,243.92000000000002
501888,225.89999999999998
501895,39.98
501920,39.98
501966,815.76
501988,3742.24
502020,173.89999999999998
502088,507.71999999999997
502122,0.0
502186,39.98
502269,389.84
502276,2221.0
502311,23.98
502353,59.959999999999994
502374,19.98
502450,619.74
502464,119.96000000000001
502532,39.98
502542,0.0
502658,179.94
502724,4894.22
502796,39.98
502804,262.82
502843,329.84
502904,0.0
502907,569.66
502957,0.0
502964,219.94
502982,129.92
502994,3978.42
503002,379.86
503023,2011.04
503024,1635.18
503130,1951.0
503134,369.88
503144,937.56
503204,3236.9
503235,695.62
503240,2042.0
503272,499.86
503356,139.94
503422,339.86
503448,49.959999999999994
503477,103.94
503507,539.7
503532,1567.2
503564,39.98
503654,1791.08
503753,2268.34
503804,379.84
503818,1089.68
503844,99.96000000000001
503881,1025.7
503894,389.84
503908,5899.8
503928,3963.04
503943,3159.24
503990,209.89999999999998
504005,199.89999999999998
504016,2571.12
504019,319.94
504039,127.91999999999999
504046,79.96
504149,139.94
504203,39.98
504248,239.89999999999998
504350,199.96
504410,159.92
504427,39.98
504528,359.79999999999995
504541,966.42
504695,599.76
504755,359.92
504777,239.94
504958,99.94
504977,39.98
505014,523.72
505053,119.96000000000001
505060,118.44
505087,229.92
505089,179.94
505092,199.96
505184,0.0
505228,379.84
505269,457.86
505417,133.92
505462,89.94
505478,119.96000000000001
505520,169.92
505534,129.94
505538,0.0
505566,199.92
505605,139.96
505674,349.82
505702,713.74
505763,303.82
505869,29.98
505908,623.74
505976,459.86
506069,269.88
506081,79.96
506211,133.92
506312,93.94
506366,79.96
506409,79.98
506483,99.94
506485,809.8
506490,303.88
506627,119.94
506680,39.98
506693,1543.3799999999999
506805,3932.7799999999997
506810,0.0
506897,93.94
506959,39.98
506965,199.92000000000002
506993,129.92000000000002
506995,1251.62
507058,0.0
507086,707.5
507164,99.96
507205,159.92
507338,73.94
507359,519.8199999999999
507360,59.959999999999994
507379,79.96
507450,2043.08
507453,269.9
507454,69.96
507481,99.94
507485,223.92000000000002
507512,139.94
507514,213.88
507525,8964.76
507539,2107.22
507543,0.0
507667,123.91999999999999
507845,319.9
507869,349.88
507954,229.9
507975,79.96
507995,39.98
508125,199.96
508132,459.84
508133,79.96
508179,91.94
508195,215.9
508204,59.959999999999994
508285,239.94
508523,49.96
508565,239.94
508631,39.98
508659,489.88
508668,79.96
508696,313.84
508741,39.98
508779,553.8
508837,269.88
508931,119.98
508951,0.0
508961,329.88
509063,239.89999999999998
509270,29.98
509373,299.92
509374,323.82
509450,9276.04
509457,511.4
509489,289.86
509499,19.98
509518,143.88
509539,124.9
509575,39.98
509587,159.94
509589,83.9
509680,163.9
509690,59.959999999999994
509705,109.96000000000001
509733,819.8
509741,79.98
509750,389.84
509766,59.959999999999994
509777,263.82
509781,347.8
509795,83.94
509917,79.96
510044,123.94
510050,279.92
510071,303.88
510077,139.92
510082,331.82
510126,89.94
510208,1115.44
510266,977.7199999999999
510270,539.88
510286,367.62
510321,0.0
510386,633.68
510405,149.89999999999998
510441,139.88
510460,423.82
510465,173.89999999999998
510498,419.86
510654,6818.599999999999
510677,3348.96
510699,39.98
510703,143.92
510776,1981.28
510798,39.98
510808,1897.76
510885,99.96000000000001
511043,149.92000000000002
511159,383.82
511192,409.86
511251,259.82
511279,144.92000000000002
511317,39.98
511332,712.1
511352,159.92
511375,389.82
511385,229.88
511432,0.0
511458,795.76
511503,4107.22
511642,1591.24
511675,143.9
511679,313.84
511744,103.96000000000001
511760,73.94
511774,219.92
511784,213.88
511790,109.94
511828,39.98
511957,313.86
512012,423.8
